N_total,metric,margin_SD_PRE,delta_raw,P_TOST_equivalence,MC_replicates
200,p95_angspeed_rad_s,0.5,0.07471009954346852,0.37,300
400,active_time_s,0.2,11.800189183821884,0.9933333333333333,300
400,active_time_s,0.3,17.700283775732824,1.0,300
400,active_time_s,0.4,23.600378367643767,1.0,300
400,active_time_s,0.5,29.500472959554706,1.0,300
400,total_path_m,0.2,0.6399983302603902,0.83,300
400,total_path_m,0.3,0.9599974953905852,1.0,300
400,total_path_m,0.4,1.2799966605207804,1.0,300
400,total_path_m,0.5,1.5999958256509754,1.0,300
400,p95_angspeed_rad_s,0.2,0.02988403981738741,0.0,300
400,p95_angspeed_rad_s,0.3,0.04482605972608111,0.17,300
400,p95_angspeed_rad_s,0.4,0.05976807963477482,0.6,300
400,p95_angspeed_rad_s,0.5,0.07471009954346852,0.8366666666666667,300
