trial_id,participant,group,phase,rep,n_samples,wall_time_s,active_time_s,total_path_m,mean_speed_m_s,p95_speed_m_s,p95_angspeed_rad_s,median_dt_s,effective_hz,jitter_sd_ms,p99_dt_ms,n_gaps_gt_50ms,max_gap_s,q_sign_flips
T022,P006,SECMA,PRE,2,30778,333.885,333.885,13.184008064655178,0.0394869102789311,0.1039962732037873,0.8244713713300362,0.0109999999999956,90.90909090912662,0.8643319064923776,13.00000000000523,0,0.0180000000000291,188
T023,P007,BOX,POST,1,10019,108.176,108.176,5.226163983236737,0.0483125703333406,0.1553726256459864,1.0546220257614851,0.0109999999999956,90.90909090912662,0.8502703035985228,12.9999999999999,0,0.019999999999996,75
T024,P007,BOX,POST,2,8849,97.311,97.311,5.101390750920201,0.0524262712568655,0.1764826365506795,1.0673768409278113,0.0109999999999992,90.90909090909724,0.8432584494804912,13.000000000000073,0,0.0180000000000006,56
T025,P007,BOX,PRE,1,20327,220.64,220.64,7.790181985608935,0.0353075262901766,0.1069500212767911,0.8843014476769984,0.0109999999999956,90.90909090912662,0.8337592241291257,13.00000000000523,0,0.0170000000000243,450
T026,P007,BOX,PRE,2,19531,209.42,209.42,8.504216638962845,0.0406088141371142,0.1180664657904232,1.033937405960628,0.0109999999999956,90.90909090912662,0.77294148948659,12.000000000000457,0,0.0159999999999911,100
T027,P008,SECMA,POST,1,5339,57.619,57.619,3.7521895385131625,0.0651218289165438,0.2595268174603143,1.4868046357804263,0.0109999999999992,90.90909090909724,0.8243456071284956,12.9999999999999,0,0.017000000000003,0
T028,P008,SECMA,POST,2,5521,58.935,58.935,3.3990881210447026,0.0576722678245773,0.2281305232801185,1.5039633113960935,0.0109999999999992,90.90909090909724,0.7450732456246921,12.000000000000457,0,0.0189999999999983,0
T029,P008,SECMA,PRE,1,11496,122.899,122.899,4.771219385771989,0.0388210164582952,0.0979008774111363,0.9320272844919796,0.0109999999999956,90.90909090912662,0.7675856069514382,12.000000000000457,0,0.0190000000000054,1116
T030,P008,SECMA,PRE,2,13973,151.441,151.441,6.278140137910922,0.0414571084867858,0.0944441938497029,0.817375191595495,0.0109999999999956,90.90909090912662,0.8415497618463008,13.000000000001677,0,0.0190000000000054,0
T031,P009,SECMA,POST,1,9793,105.365,105.365,5.470116760833671,0.0519139097916447,0.1564368949245334,0.8766573677455074,0.0109999999999956,90.90909090912662,0.8002692218333642,12.999999999998124,0,0.0159999999999982,7
T032,P009,SECMA,POST,2,9218,98.981,98.981,4.496580137632731,0.0454300969673512,0.1534172700632078,0.941356730676316,0.0109999999999956,90.90909090912662,0.7950816723738218,12.999999999998124,0,0.017000000000003,0
T033,P009,SECMA,PRE,1,25188,283.273,272.98,10.391472889566964,0.0380673498387056,0.1002808938316873,0.7854668155841257,0.0109999999999956,90.90909090912662,0.8122735825459646,12.9999999999999,2,9.677999999999995,986
T034,P009,SECMA,PRE,2,14883,162.732,160.591,3.133435703005361,0.0195121440634575,0.0682087495863974,0.4120181958466953,0.0109999999999956,90.90909090912662,0.7999584190524796,12.9999999999999,1,2.1410000000000053,10600
